plot_id,stand_id,clone,age2,SI,Dmean,DGM,Hmean,HGM,Hdom,N,G,V,f_veg_2m,f_havg,f_hstd,f_h10,f_h30,f_h50,f_h70,f_h90,f_h95,f_p10,f_p30,f_p50,f_p70,f_p90,f_p95,l_havg,l_hstd,l_h10,l_h30,l_h50,l_h70,l_h90,l_h95,l_p10,l_p30,l_p50,l_p70,l_p90,l_p95
38,10,3804,9.9,33.805,21.205,23.200,30.910,33.358,36.379,791.066,29.419,430.188,90.323,27.497,9.597,28.402,30.201,31.283,32.178,33.292,33.865,21.216,39.950,57.816,75.186,91.935,96.030,4.393,10.216,22.831,25.117,30.609,32.307,33.419,34.100,86.387,90.183,93.325,96.073,98.822,99.476
39,10,3804,9.9,34.215,21.205,24.600,30.660,34.570,36.820,772.231,29.359,432.130,91.693,27.290,9.467,27.072,30.349,31.598,32.560,33.517,33.969,22.292,40.904,58.465,75.499,92.008,96.109,3.418,9.189,19.785,24.887,30.595,33.157,34.198,34.701,89.408,92.327,94.912,96.997,99.083,99.583
40,10,3804,9.9,33.104,22.018,23.200,31.862,33.358,35.625,715.726,28.022,409.698,91.058,27.167,9.754,27.311,30.531,31.829,32.635,33.437,33.789,22.951,41.282,58.718,75.559,92.101,96.125,4.722,10.464,20.952,24.467,32.018,32.667,33.574,33.913,85.313,89.375,92.969,95.781,98.750,99.375
42,11,3684,2.8,35.197,15.885,15.900,21.617,21.525,22.353,734.561,14.583,159.110,97.011,16.122,3.702,14.519,15.831,17.038,18.305,19.502,19.958,15.884,37.062,56.704,74.893,91.973,96.072,2.781,6.608,16.453,18.470,19.103,19.604,20.233,20.486,86.884,90.058,92.982,95.906,98.663,99.332
44,11,3684,2.8,34.423,15.595,15.800,21.286,21.485,21.861,772.231,14.822,160.272,92.887,14.959,4.565,13.739,15.122,16.318,17.793,18.854,19.306,18.828,39.540,58.577,76.151,92.469,96.234,3.086,6.789,15.728,17.752,18.329,18.868,19.688,19.774,84.958,88.559,91.949,95.339,98.517,99.364
45,12,3684,2.8,34.595,15.722,16.200,20.939,21.148,21.971,696.891,13.677,145.391,92.766,15.604,4.791,14.413,15.808,17.169,18.407,19.712,20.110,18.865,39.433,58.440,75.887,92.340,96.312,3.736,7.477,17.151,18.393,19.045,19.742,20.440,20.669,82.540,86.724,90.765,94.517,98.268,99.134
46,12,3684,2.8,34.020,15.124,15.700,20.657,20.934,21.605,715.726,13.001,138.147,94.174,14.473,4.238,12.886,14.550,15.986,17.075,18.264,18.785,18.431,39.440,58.375,75.910,92.325,96.246,3.044,6.518,14.888,16.672,17.479,18.185,19.024,19.330,84.337,88.183,91.750,95.206,98.439,99.275
47,12,3684,2.8,34.004,15.415,16.000,20.709,21.064,21.595,734.561,13.908,147.420,96.443,15.287,3.664,13.458,15.028,16.365,17.455,18.715,19.203,16.206,37.681,57.181,75.099,92.095,96.179,2.623,6.183,14.550,16.963,18.049,18.769,19.533,19.761,86.870,90.186,93.103,96.021,98.806,99.469
49,13,3683,2.8,35.098,14.979,15.500,20.967,21.483,22.290,715.726,12.863,134.880,78.814,12.638,7.164,14.082,15.604,16.995,18.085,19.519,19.934,33.220,50.339,65.932,80.339,93.729,96.949,6.344,8.552,15.721,17.096,18.016,18.803,19.934,20.179,68.634,76.391,83.474,90.388,96.965,98.482
50,13,3683,2.8,35.259,15.091,15.400,21.255,21.423,22.392,828.736,14.924,157.130,88.268,13.994,6.467,14.643,16.089,17.340,18.643,19.876,20.296,28.142,46.299,63.059,78.631,93.156,96.648,5.220,8.348,16.762,18.033,18.886,19.506,20.383,20.680,75.194,81.201,86.855,92.297,97.527,98.799
